jurisdiction,state_code,vertical,typical_format,public_granularity,recommended_wave,official_landing_url,source_checked_at_utc,reporting_frequency,available_history,channel_coverage,collection_status,status_note,next_action,coverage_database,research_evidence,staged_rows,staged_periods
Florida,FL,online_sports_betting,limited public reporting,not cleanly available,5,https://flgaming.gov/faq/,2026-09-05,none identified,none identified,tribal receipts combined,no_public_series_found,"FGCC statistics cover licensed slots, cardrooms and pari-mutuel handle. Annual reporting includes aggregate tribal revenue-share receipts, not an isolated Seminole online sports GGR series.",Use an official tribal sports breakdown if published; do not infer sports GGR from aggregate compact payments.,data/staging/gaming_nationwide.sqlite,https://flgaming.gov/pmw/statistics/ [200] | https://flgaming.gov/faq/ [200],0,0
Florida,FL,online_casino,none identified,unknown,99,https://flgaming.gov/faq/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://flgaming.gov/pmw/statistics/ [200] | https://flgaming.gov/faq/ [200],0,0
Georgia,GA,online_sports_betting,none identified,unknown,99,https://gbi.georgia.gov/services/bingo,2026-09-05,none identified,none identified,not offered,product_not_offered,"GBI lists the lottery, bingo and raffles as the legal forms; no regulated online sportsbook/casino series offered in the checked scope.",Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://gbi.georgia.gov/services/bingo [200],0,0
Georgia,GA,online_casino,none identified,unknown,99,https://gbi.georgia.gov/services/bingo,2026-09-05,none identified,none identified,not offered,product_not_offered,"GBI lists the lottery, bingo and raffles as the legal forms; no regulated online sportsbook/casino series offered in the checked scope.",Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://gbi.georgia.gov/services/bingo [200],0,0
Hawaii,HI,online_sports_betting,none identified,unknown,99,https://files.hawaii.gov/dbedt/economic/data_reports/online_sports_wagering_report_2025.pdf,2026-09-05,none identified,none identified,unknown,no_public_series_found,"Reviewed the official sports-wagering working-group report and 2026 legislative proposals; these are proposals/research, not operating revenue reports. No public regulated series identified; enactment is not inferred from bill text.",Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://files.hawaii.gov/dbedt/economic/data_reports/online_sports_wagering_report_2025.pdf [200],0,0
Hawaii,HI,online_casino,none identified,unknown,99,https://files.hawaii.gov/dbedt/economic/data_reports/online_sports_wagering_report_2025.pdf,2026-09-05,none identified,none identified,unknown,no_public_series_found,"Reviewed the official sports-wagering working-group report and 2026 legislative proposals; these are proposals/research, not operating revenue reports. No public regulated series identified; enactment is not inferred from bill text.",Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://files.hawaii.gov/dbedt/economic/data_reports/online_sports_wagering_report_2025.pdf [200],0,0
Iowa,IA,online_sports_betting,XLSX/PDF,casino licensee and statewide,2,https://irgc.iowa.gov/publications-reports/sports-wagering-revenue,2026-09-05,monthly,2019-08-01 to 2026-07-31,online,collected_and_validated,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://irgc.iowa.gov/publications-reports/sports-wagering-revenue [200],1669,84
Iowa,IA,online_casino,none identified,unknown,99,https://irgc.iowa.gov/publications-reports/sports-wagering-revenue,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://irgc.iowa.gov/publications-reports/sports-wagering-revenue [200],0,0
Idaho,ID,online_sports_betting,none identified,unknown,99,https://www.idaholottery.com/charitable-gaming/idaho-law,2026-09-05,none identified,none identified,unknown,no_public_series_found,Reviewed Idaho Lottery gaming law and its charitable-gaming FAQ. No public online sports/casino operating series was identified.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.idaholottery.com/charitable-gaming/idaho-law [200],0,0
Idaho,ID,online_casino,none identified,unknown,99,https://www.idaholottery.com/charitable-gaming/idaho-law,2026-09-05,none identified,none identified,unknown,no_public_series_found,Reviewed Idaho Lottery gaming law and its charitable-gaming FAQ. No public online sports/casino operating series was identified.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.idaholottery.com/charitable-gaming/idaho-law [200],0,0
Illinois,IL,online_sports_betting,CSV and PDF,operator and statewide,1,https://igb.illinois.gov/sports-wagering/sports-reports.html,2026-09-05,monthly,2020-03-01 to 2026-06-30,online,collected_and_validated,Handle uses all wagering activity while State AGR comes from completed events. They are different clocks and must not be divided for hold. Legacy calculated totals are not regulator totals.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://igb.illinois.gov/sports-wagering/sports-reports.html [200],891,76
Illinois,IL,online_casino,none identified,unknown,99,https://igb.illinois.gov/sports-wagering/sports-reports.html,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://igb.illinois.gov/sports-wagering/sports-reports.html [200],0,0
Indiana,IN,online_sports_betting,XLSX and PDF,licensee/operator and statewide,1,https://www.in.gov/igc/publications/monthly-revenue/,2026-09-05,monthly,2019-10-01 to 2026-07-31,online,collected_and_validated,Legacy calculated totals remain classified as derived. Gross Receipts and Taxable AGR are distinct source labels; do not assume every historical report has both.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www.in.gov/igc/publications/monthly-revenue/ [200],1025,82
Indiana,IN,online_casino,none identified,unknown,99,https://www.in.gov/igc/publications/monthly-revenue/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.in.gov/igc/publications/monthly-revenue/ [200],0,0
Kansas,KS,online_sports_betting,PDF,provider and statewide,3,https://www.kslottery.gov/publications/sports-monthly-detail-breakdown/,2026-09-05,monthly,2023-01-01 to 2026-07-31,online,partially_collected,Current detail archive starts January 2023; September-December 2022 detail not linked. Two 2025 image reports are transcribed by exact hash. Dashes remain missing; net carryover is separate from Net Revenues.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www.kslottery.gov/publications/sports-monthly-detail-breakdown/ [200],314,43
Kansas,KS,online_casino,none identified,unknown,99,https://www.kslottery.gov/publications/sports-monthly-detail-breakdown/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.kslottery.gov/publications/sports-monthly-detail-breakdown/ [200],0,0
Kentucky,KY,online_sports_betting,PDF,operator and statewide,3,https://khrc.ky.gov/newstatic_info.aspx/utils/newstatic_Info.aspx?menuid=80&static_ID=722,2026-09-05,monthly,2025-03-01 to 2025-04-30,online,partially_collected,"Only March-April 2025 statewide online figures transcribed from official June 2025 meeting packet, PDF pages 123-124. Tableau view returned UnexpectedError and CSV export HTTP 404. Other packet images/operator cells are not transcribed; no claim of complete history.","Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://khrc.ky.gov/new_docs.aspx?cat=76&menuid=80 [200] | https://public.tableau.com/views/SportsWageringMarketReport/SWStory.csv?:showVizHome=no [404] | https://public.tableau.com/views/SportsWageringMarketReport/SWStory?:showVizHome=no [200],2,2
Kentucky,KY,online_casino,none identified,unknown,99,https://khrc.ky.gov/newstatic_info.aspx/utils/newstatic_Info.aspx?menuid=80&static_ID=722,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://khrc.ky.gov/new_docs.aspx?cat=76&menuid=80 [200] | https://public.tableau.com/views/SportsWageringMarketReport/SWStory.csv?:showVizHome=no [404] | https://public.tableau.com/views/SportsWageringMarketReport/SWStory?:showVizHome=no [200],0,0
Louisiana,LA,online_sports_betting,PDF,operator/statewide varies,3,https://lgcb.dps.louisiana.gov/reports/,2026-09-05,monthly,2022-01-01 to 2026-07-31,online,partially_collected,FY22 workbook final two rows print July/August 2021 where May/June 2022 are expected. Those conflicting dates are excluded in staging; no replacement months invented. January 2022 is a partial launch month.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://lgcb.dps.louisiana.gov/reports/ [200],53,53
Louisiana,LA,online_casino,none identified,unknown,99,https://lgcb.dps.louisiana.gov/reports/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://lgcb.dps.louisiana.gov/reports/ [200],0,0
Massachusetts,MA,online_sports_betting,PDF/dashboard,operator and statewide,3,https://massgaming.com/regulations/revenue/,2026-09-05,monthly,2023-03-01 to 2026-07-31,online,collected_and_validated,Settled wagers and Accrual Win are distinct from Taxable Gaming Revenue; promotional adjustments must be reviewed. Partial launch month March 2023.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://massgaming.com/regulations/revenue/ [200],291,41
Massachusetts,MA,online_casino,none identified,unknown,99,https://massgaming.com/regulations/revenue/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://massgaming.com/regulations/revenue/ [200],0,0
Maryland,MD,online_sports_betting,Excel and HTML,licensee and statewide,1,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/,2026-09-05,monthly,2022-11-01 to 2026-07-31,online,collected_and_validated,Archive pagination and older release titles are now supported; staging reaches the November 2022 mobile launch. Early mobile subtotal is labeled Combined inside MOBILE. November 2022 retains negative taxable win; later summaries may floor losses. Wagers placed can settle later; see footnotes before growth or hold.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/ [200] | https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/all-financial-reports/page/2/ [200; older workbooks collected] | https://www.mdgaming.com/wp-content/uploads/2026/04/February-2026-Sports-Wagering-Data-accessible.pdf [200; mobile table page 2],611,45
Maryland,MD,online_casino,none identified,unknown,99,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/ [200] | https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/all-financial-reports/page/2/ [200; older workbooks collected] | https://www.mdgaming.com/wp-content/uploads/2026/04/February-2026-Sports-Wagering-Data-accessible.pdf [200; mobile table page 2],0,0
Maine,ME,online_sports_betting,PDF,operator and statewide,3,https://www.maine.gov/dps/gcu/sports-wagering/sports-wagering-revenue,2026-09-05,monthly,2023-11-01 to 2026-07-31,online,collected_and_validated,Two native tribal reporting groups; operator sums are not printed official statewide totals. YTD is a check only. No casino observations from TBA tables.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www11.maine.gov/dps/gcu/sports-wagering/sports-wagering-revenue [200] | https://www.maine.gov/dps/gcu/I-Gaming [200] | https://www.maine.gov/dps/gcu/I-Gaming/I-Gaming-Revenue-Distribution [200],66,33
Maine,ME,online_casino,pending,not yet established,5,https://www.maine.gov/dps/gcu/I-Gaming/I-Gaming-Revenue-Distribution,2026-09-05,none identified,none identified,online,reporting_pending,Official iGaming Revenue Distribution page lists tribal monthly reports as TBA; no operating numeric reports were posted at the check.,Check the TBA links after official reporting starts; do not fabricate pre-reporting zeros.,data/staging/gaming_nationwide.sqlite,https://www11.maine.gov/dps/gcu/sports-wagering/sports-wagering-revenue [200] | https://www.maine.gov/dps/gcu/I-Gaming [200] | https://www.maine.gov/dps/gcu/I-Gaming/I-Gaming-Revenue-Distribution [200],0,0
Michigan,MI,online_sports_betting,Excel,operator and statewide,1,https://www.michigan.gov/mgcb/detroit-casinos/resources/revenues-and-wagering-tax-information,2026-09-05,monthly,2021-01-01 to 2026-07-31,online,collected_and_validated,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www.michigan.gov/mgcb/detroit-casinos/resources/revenues-and-wagering-tax-information [200],1060,67
Michigan,MI,online_casino,Excel,operator and statewide,1,https://www.michigan.gov/mgcb/detroit-casinos/resources/revenues-and-wagering-tax-information,2026-09-05,monthly,2021-01-01 to 2026-07-31,online,collected_and_validated,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www.michigan.gov/mgcb/detroit-casinos/resources/revenues-and-wagering-tax-information [200],1060,67
Minnesota,MN,online_sports_betting,none identified,unknown,99,https://dps.mn.gov/news/age/want-bet-super-bowl-knowing-law-can-help-you-stay-safe-and-legal,2026-09-05,none identified,none identified,not offered,product_not_offered,Current DPS consumer guidance explicitly describes online sports betting and gaming as illegal; do not record offshore or prediction-market activity as regulated state revenue.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://dps.mn.gov/news/age/want-bet-super-bowl-knowing-law-can-help-you-stay-safe-and-legal [200],0,0
Minnesota,MN,online_casino,none identified,unknown,99,https://dps.mn.gov/news/age/want-bet-super-bowl-knowing-law-can-help-you-stay-safe-and-legal,2026-09-05,none identified,none identified,not offered,product_not_offered,Current DPS consumer guidance explicitly describes online sports betting and gaming as illegal; do not record offshore or prediction-market activity as regulated state revenue.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://dps.mn.gov/news/age/want-bet-super-bowl-knowing-law-can-help-you-stay-safe-and-legal [200],0,0
Missouri,MO,online_sports_betting,Excel and PDF,operator and statewide,1,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,2026-09-05,monthly,2025-12-01 to 2026-07-31,online,collected_and_validated,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html [200],72,8
Missouri,MO,online_casino,none identified,unknown,99,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html [200],0,0
Mississippi,MS,online_sports_betting,none identified,unknown,99,https://www.msgamingcommission.com/faqs,2026-09-05,none identified,none identified,location based mobile / retail,combined_reporting_only,MGC FAQ limits sports betting to casinos. Regional sports reports combine on-premises activity; no separate mobile-only values identified.,Keep location-based activity separate from statewide online. Use separately identified mobile values only if an official report supplies them.,data/staging/gaming_nationwide.sqlite,https://www.msgamingcommission.com/reports/monthly_reports [200] | https://www.msgamingcommission.com/faqs [200],0,0
Mississippi,MS,online_casino,none identified,unknown,99,https://www.msgamingcommission.com/faqs,2026-09-05,none identified,none identified,not offered,product_not_offered,MGC FAQ explicitly identifies online casino games as illegal; land-based casino revenue is excluded.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.msgamingcommission.com/reports/monthly_reports [200] | https://www.msgamingcommission.com/faqs [200],0,0
