state_code,vertical,storage_column,source_label,definition,units,reporting_frequency,timing_basis,promotions_and_deductions,channel,reporting_granularity,definition_applies_from,definition_applies_to,evidence_period,source_url,source_file,limitations
CO,online_sports_betting,handle,Wagers - Online - Total,Reported wager volume for the selected online channel; not revenue.,USD,monthly,unknown,NSBP includes allowed deductions; promotion allowance can change. Gross report and net report must remain separate; historical deduction limits are not assumed constant.,online,"official_statewide_total; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2024-06-01 to 2024-06-30,https://spl.cde.state.co.us/artemis/revserials/rev14111internet/rev14111202406internet.pdf,data\raw\CO\2026-09-05\818c672d4ecb93e43e4c64c19e95452a73781981bd7890413e5d0f7a08f6a513_rev14111202406internet.pdf,Archive is July 2021-February 2026 with July 2025 absent. Most files only report internet NSBP/tax; GGR/handle appear in four retained summaries. Regulator landing and direct current report downloads returned HTTP 403. No net-to-gross substitution. Definition validity across the whole stored history has not been inferred from this example.
CO,online_sports_betting,gross_revenue,Total GGR - Online,Printed online gross wagers less payments to players. Preserve independently of net sports betting proceeds.,USD,monthly,unknown,NSBP includes allowed deductions; promotion allowance can change. Gross report and net report must remain separate; historical deduction limits are not assumed constant.,online,"official_statewide_total; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2024-06-01 to 2024-06-30,https://spl.cde.state.co.us/artemis/revserials/rev14111internet/rev14111202406internet.pdf,data\raw\CO\2026-09-05\818c672d4ecb93e43e4c64c19e95452a73781981bd7890413e5d0f7a08f6a513_rev14111202406internet.pdf,Archive is July 2021-February 2026 with July 2025 absent. Most files only report internet NSBP/tax; GGR/handle appear in four retained summaries. Regulator landing and direct current report downloads returned HTTP 403. No net-to-gross substitution. Definition validity across the whole stored history has not been inferred from this example.
CO,online_sports_betting,net_proceeds,NSBP - Internet / Total NSBP - Online,Reported internet net sports betting proceeds after state-allowed deductions; not the same as gross win. Most archived reports contain only this revenue measure.,USD,monthly,unknown,NSBP includes allowed deductions; promotion allowance can change. Gross report and net report must remain separate; historical deduction limits are not assumed constant.,online,"official_statewide_total; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-02-01 to 2026-02-28,https://spl.cde.state.co.us/artemis/revserials/rev14111internet/rev14111202602internet.pdf,data\raw\CO\2026-09-05\c2ecd2958624c18e00bca87f650cfc01a4b7710485761cac1621d1f059088655_rev14111202602internet.pdf,Archive is July 2021-February 2026 with July 2025 absent. Most files only report internet NSBP/tax; GGR/handle appear in four retained summaries. Regulator landing and direct current report downloads returned HTTP 403. No net-to-gross substitution. Definition validity across the whole stored history has not been inferred from this example.
CO,online_sports_betting,tax,Taxes - Internet / Total Taxes - Online,Reported tax/contribution or explicitly summed source tax lines; tax timing and coverage are source-specific.,USD,monthly,unknown,NSBP includes allowed deductions; promotion allowance can change. Gross report and net report must remain separate; historical deduction limits are not assumed constant.,online,"official_statewide_total; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-02-01 to 2026-02-28,https://spl.cde.state.co.us/artemis/revserials/rev14111internet/rev14111202602internet.pdf,data\raw\CO\2026-09-05\c2ecd2958624c18e00bca87f650cfc01a4b7710485761cac1621d1f059088655_rev14111202602internet.pdf,Archive is July 2021-February 2026 with July 2025 absent. Most files only report internet NSBP/tax; GGR/handle appear in four retained summaries. Regulator landing and direct current report downloads returned HTTP 403. No net-to-gross substitution. Definition validity across the whole stored history has not been inferred from this example.
CO,online_casino,none,no collected metric,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://spl.cde.state.co.us/artemis/revserials/rev14111internet/,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
CT,online_sports_betting,handle,Wagers,Reported wager volume for the selected online channel; not revenue.,USD,monthly,unknown,Gross and taxable/payment calculations differ. Promotional deductibility and historical limits must be read in the source footnotes; not inferred from the label Gross.,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,data/raw/CT/2026-09-03/19d6d3ee1aff10fbe11d6bb40e61ab554d23b09561dac5e56377363815d35a03_ct_online_sports_source.csv,Staging corrects the legacy mapping: printed online Win/(Loss) is gross; Unadjusted Monthly Gaming Revenue is sports win after excise; Total Gross Gaming Revenue is the post-promotion taxable/payment base. Original database retains the older mapping and must be reviewed before comparison. Definition validity across the whole stored history has not been inferred from this example.
CT,online_sports_betting,gross_revenue,Online Sports Wagering Win/(Loss) / Online Casino Gaming Win/(Loss),Printed online win/loss before federal excise and promotional deductions. It includes the source treatment of cancelled wagers and sports resettlements; do not substitute Total Gross Gaming Revenue.,USD,monthly,unknown,Gross and taxable/payment calculations differ. Promotional deductibility and historical limits must be read in the source footnotes; not inferred from the label Gross.,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,data/raw/CT/2026-09-03/19d6d3ee1aff10fbe11d6bb40e61ab554d23b09561dac5e56377363815d35a03_ct_online_sports_source.csv,Staging corrects the legacy mapping: printed online Win/(Loss) is gross; Unadjusted Monthly Gaming Revenue is sports win after excise; Total Gross Gaming Revenue is the post-promotion taxable/payment base. Original database retains the older mapping and must be reviewed before comparison. Definition validity across the whole stored history has not been inferred from this example.
CT,online_sports_betting,adjusted_revenue,Unadjusted Monthly Gaming Revenue,"Sports Unadjusted Monthly Gaming Revenue is win/loss after federal excise, before the promotional deduction. Despite its native name, it is already adjusted relative to gross win.",USD,monthly,unknown,Gross and taxable/payment calculations differ. Promotional deductibility and historical limits must be read in the source footnotes; not inferred from the label Gross.,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,data/raw/CT/2026-09-03/19d6d3ee1aff10fbe11d6bb40e61ab554d23b09561dac5e56377363815d35a03_ct_online_sports_source.csv,Staging corrects the legacy mapping: printed online Win/(Loss) is gross; Unadjusted Monthly Gaming Revenue is sports win after excise; Total Gross Gaming Revenue is the post-promotion taxable/payment base. Original database retains the older mapping and must be reviewed before comparison. Definition validity across the whole stored history has not been inferred from this example.
CT,online_sports_betting,taxable_revenue,Total Gross Gaming Revenue,Source Total Gross Gaming Revenue is the post-promotion payment base. Sports also deducts federal excise before this amount. Its native GGR label does not mean pre-deduction win.,USD,monthly,unknown,Gross and taxable/payment calculations differ. Promotional deductibility and historical limits must be read in the source footnotes; not inferred from the label Gross.,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,data/raw/CT/2026-09-03/19d6d3ee1aff10fbe11d6bb40e61ab554d23b09561dac5e56377363815d35a03_ct_online_sports_source.csv,Staging corrects the legacy mapping: printed online Win/(Loss) is gross; Unadjusted Monthly Gaming Revenue is sports win after excise; Total Gross Gaming Revenue is the post-promotion taxable/payment base. Original database retains the older mapping and must be reviewed before comparison. Definition validity across the whole stored history has not been inferred from this example.
CT,online_sports_betting,tax,Payment (7) sports / Payment (5) casino,The source Payment column for the selected product. A payment is not interchangeable with a same-month accounting tax accrual.,USD,monthly,unknown,Gross and taxable/payment calculations differ. Promotional deductibility and historical limits must be read in the source footnotes; not inferred from the label Gross.,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,data/raw/CT/2026-09-03/19d6d3ee1aff10fbe11d6bb40e61ab554d23b09561dac5e56377363815d35a03_ct_online_sports_source.csv,Staging corrects the legacy mapping: printed online Win/(Loss) is gross; Unadjusted Monthly Gaming Revenue is sports win after excise; Total Gross Gaming Revenue is the post-promotion taxable/payment base. Original database retains the older mapping and must be reviewed before comparison. Definition validity across the whole stored history has not been inferred from this example.
CT,online_casino,handle,Wagers,Reported wager volume for the selected online channel; not revenue.,USD,monthly,unknown,Gross and taxable/payment calculations differ. Promotional deductibility and historical limits must be read in the source footnotes; not inferred from the label Gross.,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://data.ct.gov/api/views/imqd-at3c/rows.csv?accessType=DOWNLOAD,data/raw/CT/2026-09-03/e7b21691f7d424cf0bb624303d4cf6f23c62fadb32063340145ce52d74fbc413_ct_online_casino_source.csv,Staging corrects the legacy mapping: printed online Win/(Loss) is gross; Unadjusted Monthly Gaming Revenue is sports win after excise; Total Gross Gaming Revenue is the post-promotion taxable/payment base. Original database retains the older mapping and must be reviewed before comparison. Definition validity across the whole stored history has not been inferred from this example.
CT,online_casino,gross_revenue,Online Sports Wagering Win/(Loss) / Online Casino Gaming Win/(Loss),Printed online win/loss before federal excise and promotional deductions. It includes the source treatment of cancelled wagers and sports resettlements; do not substitute Total Gross Gaming Revenue.,USD,monthly,unknown,Gross and taxable/payment calculations differ. Promotional deductibility and historical limits must be read in the source footnotes; not inferred from the label Gross.,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://data.ct.gov/api/views/imqd-at3c/rows.csv?accessType=DOWNLOAD,data/raw/CT/2026-09-03/e7b21691f7d424cf0bb624303d4cf6f23c62fadb32063340145ce52d74fbc413_ct_online_casino_source.csv,Staging corrects the legacy mapping: printed online Win/(Loss) is gross; Unadjusted Monthly Gaming Revenue is sports win after excise; Total Gross Gaming Revenue is the post-promotion taxable/payment base. Original database retains the older mapping and must be reviewed before comparison. Definition validity across the whole stored history has not been inferred from this example.
CT,online_casino,taxable_revenue,Total Gross Gaming Revenue,Source Total Gross Gaming Revenue is the post-promotion payment base. Sports also deducts federal excise before this amount. Its native GGR label does not mean pre-deduction win.,USD,monthly,unknown,Gross and taxable/payment calculations differ. Promotional deductibility and historical limits must be read in the source footnotes; not inferred from the label Gross.,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://data.ct.gov/api/views/imqd-at3c/rows.csv?accessType=DOWNLOAD,data/raw/CT/2026-09-03/e7b21691f7d424cf0bb624303d4cf6f23c62fadb32063340145ce52d74fbc413_ct_online_casino_source.csv,Staging corrects the legacy mapping: printed online Win/(Loss) is gross; Unadjusted Monthly Gaming Revenue is sports win after excise; Total Gross Gaming Revenue is the post-promotion taxable/payment base. Original database retains the older mapping and must be reviewed before comparison. Definition validity across the whole stored history has not been inferred from this example.
CT,online_casino,tax,Payment (7) sports / Payment (5) casino,The source Payment column for the selected product. A payment is not interchangeable with a same-month accounting tax accrual.,USD,monthly,unknown,Gross and taxable/payment calculations differ. Promotional deductibility and historical limits must be read in the source footnotes; not inferred from the label Gross.,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://data.ct.gov/api/views/imqd-at3c/rows.csv?accessType=DOWNLOAD,data/raw/CT/2026-09-03/e7b21691f7d424cf0bb624303d4cf6f23c62fadb32063340145ce52d74fbc413_ct_online_casino_source.csv,Staging corrects the legacy mapping: printed online Win/(Loss) is gross; Unadjusted Monthly Gaming Revenue is sports win after excise; Total Gross Gaming Revenue is the post-promotion taxable/payment base. Original database retains the older mapping and must be reviewed before comparison. Definition validity across the whole stored history has not been inferred from this example.
DC,online_sports_betting,handle,Handle,Reported wager volume for the selected online channel; not revenue.,USD,monthly,unknown,unknown; inspect the linked report and applicable footnotes before comparing periods or states,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://dclottery.com/olg/financials/july-2026-unaudited,data/raw/DC/2026-09-03/9f52fb938bee727572117329033dc4e45c42e0847f1e4f5fad65645002fceec8_july-2026-unaudited.html,Stored official history starts July 2024; earlier GambetDC operator history is not represented. Complete-market comparisons across the transition are not supported. Definition validity across the whole stored history has not been inferred from this example.
DC,online_sports_betting,gross_revenue,Gross Gaming Revenue (GGR),Native reported gaming win/receipts in this source. Detailed deduction and timing equivalence is not established merely by this storage name.,USD,monthly,unknown,unknown; inspect the linked report and applicable footnotes before comparing periods or states,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://dclottery.com/olg/financials/july-2026-unaudited,data/raw/DC/2026-09-03/9f52fb938bee727572117329033dc4e45c42e0847f1e4f5fad65645002fceec8_july-2026-unaudited.html,Stored official history starts July 2024; earlier GambetDC operator history is not represented. Complete-market comparisons across the transition are not supported. Definition validity across the whole stored history has not been inferred from this example.
DC,online_sports_betting,tax,Tax,Reported tax/contribution or explicitly summed source tax lines; tax timing and coverage are source-specific.,USD,monthly,unknown,unknown; inspect the linked report and applicable footnotes before comparing periods or states,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://dclottery.com/olg/financials/july-2026-unaudited,data/raw/DC/2026-09-03/9f52fb938bee727572117329033dc4e45c42e0847f1e4f5fad65645002fceec8_july-2026-unaudited.html,Stored official history starts July 2024; earlier GambetDC operator history is not represented. Complete-market comparisons across the transition are not supported. Definition validity across the whole stored history has not been inferred from this example.
DC,online_casino,none,no collected metric,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://dclottery.com/olg/financials,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
DE,online_sports_betting,none,no collected metric,Official lottery sportsbook tables group casino licensees and retailers without an isolated online column. Accounting periods can end before calendar month-end; sales/net proceeds are not automatically calendar-month GGR.,not applicable,accounting periods,unknown,unknown,mobile and retail combined,unknown,unknown,unknown,none,https://delottery.com/Sports-Lottery/Monthly-Net-Proceeds,unknown,No observations fabricated. Obtain separately labeled online activity and exact period dates before upsert.
DE,online_casino,handle,Played / wagers,Reported wager volume for the selected online channel; not revenue.,USD,monthly,unknown,unknown; inspect the linked report and applicable footnotes before comparing periods or states,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.delottery.com/More/iGaming/Revenue-Distribution/Monthly-Proceeds-And-Distribution-Financial-Year/2027,data/raw/DE/2026-09-03/f0b048de59c253df790829ece04c60ddf8fd5220996a355158c8a4173ba5e63d_2027.html,Casino Played/Won/Net and later Total Net Gaming Revenue labels need period-specific review; vendor/operator transitions must not be treated as a constant revenue definition. Definition validity across the whole stored history has not been inferred from this example.
DE,online_casino,net_proceeds,Net / Total Net Gaming Revenue,Native reported net receipts/proceeds. Detailed deduction rules need source-period review; do not rename this GGR.,USD,monthly,unknown,unknown; inspect the linked report and applicable footnotes before comparing periods or states,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.delottery.com/More/iGaming/Revenue-Distribution/Monthly-Proceeds-And-Distribution-Financial-Year/2027,data/raw/DE/2026-09-03/f0b048de59c253df790829ece04c60ddf8fd5220996a355158c8a4173ba5e63d_2027.html,Casino Played/Won/Net and later Total Net Gaming Revenue labels need period-specific review; vendor/operator transitions must not be treated as a constant revenue definition. Definition validity across the whole stored history has not been inferred from this example.
FL,online_sports_betting,none,no collected metric,"FGCC statistics cover licensed slots, cardrooms and pari-mutuel handle. Annual reporting includes aggregate tribal revenue-share receipts, not an isolated Seminole online sports GGR series.",not applicable,none identified,unknown,unknown,tribal receipts combined,unknown,unknown,unknown,none,https://flgaming.gov/faq/,unknown,No observations fabricated. Use an official tribal sports breakdown if published; do not infer sports GGR from aggregate compact payments.
FL,online_casino,none,no collected metric,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://flgaming.gov/faq/,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
GA,online_sports_betting,none,no collected metric,"GBI lists the lottery, bingo and raffles as the legal forms; no regulated online sportsbook/casino series offered in the checked scope.",not applicable,none identified,unknown,unknown,not offered,unknown,unknown,unknown,none,https://gbi.georgia.gov/services/bingo,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
GA,online_casino,none,no collected metric,"GBI lists the lottery, bingo and raffles as the legal forms; no regulated online sportsbook/casino series offered in the checked scope.",not applicable,none identified,unknown,unknown,not offered,unknown,unknown,unknown,none,https://gbi.georgia.gov/services/bingo,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
HI,online_sports_betting,none,no collected metric,"Reviewed the official sports-wagering working-group report and 2026 legislative proposals; these are proposals/research, not operating revenue reports. No public regulated series identified; enactment is not inferred from bill text.",not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://files.hawaii.gov/dbedt/economic/data_reports/online_sports_wagering_report_2025.pdf,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
HI,online_casino,none,no collected metric,"Reviewed the official sports-wagering working-group report and 2026 legislative proposals; these are proposals/research, not operating revenue reports. No public regulated series identified; enactment is not inferred from bill text.",not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://files.hawaii.gov/dbedt/economic/data_reports/online_sports_wagering_report_2025.pdf,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
IA,online_sports_betting,handle,INTERNET HANDLE,Reported wager volume for the selected online channel; not revenue.,USD,monthly,unknown,unknown; inspect the linked report and applicable footnotes before comparing periods or states,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://irgc.iowa.gov/media/505/download?inline,data/raw/IA/2026-09-03/a01d3d1b04193fdb3089dc09e3e13ee3b35cd216f3ccc2d664a027a341ac84a4_July2026_0.pdf,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency. Definition validity across the whole stored history has not been inferred from this example.
IA,online_sports_betting,net_proceeds,INTERNET NET RECEIPTS,Native reported net receipts/proceeds. Detailed deduction rules need source-period review; do not rename this GGR.,USD,monthly,unknown,unknown; inspect the linked report and applicable footnotes before comparing periods or states,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://irgc.iowa.gov/media/505/download?inline,data/raw/IA/2026-09-03/a01d3d1b04193fdb3089dc09e3e13ee3b35cd216f3ccc2d664a027a341ac84a4_July2026_0.pdf,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency. Definition validity across the whole stored history has not been inferred from this example.
IA,online_casino,none,no collected metric,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://irgc.iowa.gov/publications-reports/sports-wagering-revenue,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
ID,online_sports_betting,none,no collected metric,Reviewed Idaho Lottery gaming law and its charitable-gaming FAQ. No public online sports/casino operating series was identified.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://www.idaholottery.com/charitable-gaming/idaho-law,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
ID,online_casino,none,no collected metric,Reviewed Idaho Lottery gaming law and its charitable-gaming FAQ. No public online sports/casino operating series was identified.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://www.idaholottery.com/charitable-gaming/idaho-law,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
IL,online_sports_betting,handle,Amount Wagered - Online,Reported wager volume for the selected online channel; not revenue.,USD,monthly,wagers placed / all wagering activity,Completed-event AGR differs from all-wagering handle; source deduction rules and tax changes need period-specific review.,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-06-01 to 2026-06-30,https://igb.illinois.gov/sports-wagering/sports-reports.html,data/raw/IL/2026-09-03/080bb3e40a1f6c2e2af7827c7234b4d371607fa8376060a805abbd18fc1d6248_il_sport_detail_2026-06.csv|data/raw/IL/2026-09-03/f95f4af8ef929ba8fa0da2cd33ee11dec3982e54401b5645250dbebcdd5c8c02_il_tax_summary_2026-06.csv,Handle uses all wagering activity while State AGR comes from completed events. They are different clocks and must not be divided for hold. Legacy calculated totals are not regulator totals. Definition validity across the whole stored history has not been inferred from this example.
IL,online_sports_betting,adjusted_revenue,State AGR,"State AGR from the completed-events Tax Summary, separate from the all-wagering-activity report used for handle.",USD,monthly,settled wagers / completed events,Completed-event AGR differs from all-wagering handle; source deduction rules and tax changes need period-specific review.,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-06-01 to 2026-06-30,https://igb.illinois.gov/sports-wagering/sports-reports.html,data/raw/IL/2026-09-03/080bb3e40a1f6c2e2af7827c7234b4d371607fa8376060a805abbd18fc1d6248_il_sport_detail_2026-06.csv|data/raw/IL/2026-09-03/f95f4af8ef929ba8fa0da2cd33ee11dec3982e54401b5645250dbebcdd5c8c02_il_tax_summary_2026-06.csv,Handle uses all wagering activity while State AGR comes from completed events. They are different clocks and must not be divided for hold. Legacy calculated totals are not regulator totals. Definition validity across the whole stored history has not been inferred from this example.
IL,online_sports_betting,tax,State Tax,Reported tax/contribution or explicitly summed source tax lines; tax timing and coverage are source-specific.,USD,monthly,completed-events report,Completed-event AGR differs from all-wagering handle; source deduction rules and tax changes need period-specific review.,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-06-01 to 2026-06-30,https://igb.illinois.gov/sports-wagering/sports-reports.html,data/raw/IL/2026-09-03/080bb3e40a1f6c2e2af7827c7234b4d371607fa8376060a805abbd18fc1d6248_il_sport_detail_2026-06.csv|data/raw/IL/2026-09-03/f95f4af8ef929ba8fa0da2cd33ee11dec3982e54401b5645250dbebcdd5c8c02_il_tax_summary_2026-06.csv,Handle uses all wagering activity while State AGR comes from completed events. They are different clocks and must not be divided for hold. Legacy calculated totals are not regulator totals. Definition validity across the whole stored history has not been inferred from this example.
IL,online_casino,none,no collected metric,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://igb.illinois.gov/sports-wagering/sports-reports.html,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
IN,online_sports_betting,handle,Handle,Reported wager volume for the selected online channel; not revenue.,USD,monthly,unknown,unknown; inspect the linked report and applicable footnotes before comparing periods or states,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.in.gov/igc/files/reports/2026/2026-07-Revenue.xlsx,data/raw/IN/2026-09-03/a584b9043116e7d1beda842c500b9b99a2465f3fe132ef137656d7d844b97501_2026-07-Revenue.xlsx,Legacy calculated totals remain classified as derived. Gross Receipts and Taxable AGR are distinct source labels; do not assume every historical report has both. Definition validity across the whole stored history has not been inferred from this example.
